지번주소,도로명주소,도로명우편번호,사업자명,경도,위도
서울특별시 종로구 신문로2가 1-181,"서울특별시 종로구 경희궁1가길 7, 2층 (신문로2가, 복합문화공간에무)",3176.0,에무 시네마,126.969011116977,37.572068922706
서울특별시 종로구 명륜2가 41-9 3층,"서울특별시 종로구 대명길 28 (명륜2가,3층)",,CGV 대학로점,126.999842630109,37.5834579529328
서울특별시 종로구 돈의동 137 지하4층,"서울특별시 종로구 돈화문로5가길 1 (돈의동,지하4층)",,CGV 피카디리1958,126.991230294263,37.5710275098022
서울특별시 종로구 낙원동 284-6번지,"서울특별시 종로구 삼일대로 428, 4층 (낙원동)",3140.0,낭만극장,126.987902476529,37.5727635233966
서울특별시 종로구 신문로1가 226 흥국생명빌딩,"서울특별시 종로구 새문안로 68, 흥국생명빌딩 지하2층 (신문로1가)",3184.0,씨네큐브 광화문점,126.972139469043,37.5696425113058
서울특별시 중구 남대문로2가 130,"서울특별시 중구 남대문로 73, 6~7층 (남대문로2가, AVENUEL)",4533.0,롯데시네마 에비뉴엘점,,
서울특별시 중구 초동 19-4번지 초동빌딩3층,"서울특별시 중구 마른내로 41  (초동,초동빌딩3층)",,시네아스트극장,126.992413746356,37.5645459184175
서울특별시 중구 초동 18-5번지,서울특별시 중구 마른내로 47  (초동),,명보아트홀,126.993214191194,37.5647056236712
서울특별시 중구 충무로1가 24-23번지 캣츠빌딩,"서울특별시 중구 명동8나길 15  (충무로1가,캣츠빌딩)",,씨큐엔(CQN) 명동,126.984115903127,37.5612633940942
서울특별시 중구 명동2가 83-5 아바타빌딩 8층,"서울특별시 중구 명동길 14 (명동2가,아바타빌딩 8층)",,CGV 명동점,126.98288772495,37.5634116488196
서울특별시 중구 충정로1가 68번지,"서울특별시 중구 새문안로 22 (충정로1가, 문화일보)",4516.0,청춘극장,126.968644839862,37.5671292085624
