정류장명,위도,경도
황학동롯데캐슬,37.571662,127.022033
광희문.광희동사거리,37.56454992,127.008611
광희문.광희동사거리,37.564402,127.009677
황학동롯데캐슬,37.57082,127.023297
한국은행.신세계앞,37.56140811,126.97929
서울기동대.광희초등학교,37.567922,127.014485
동대문디자인플라자,37.56770075,127.0119962
서대문역사거리.농협중앙회,37.56692224,126.9678855
서울스퀘어앞,37.55534163,126.9732317
북창동.남대문시장,37.56084629,126.9769187
힐튼호텔,37.556367,126.976562
힐튼호텔,37.55662674,126.9767113
시청앞.덕수궁,37.56621228,126.9768356
남대문세무서.국가인권위원회,37.56508396,126.9878661
장충문화체육센터.권기옥활동터,37.5601745,127.0025921
남산1호터널,37.55740518,126.9921666
남산예장버스환승주차장,37.560033,126.989029
약수역.3.6호선,37.553305,127.011707
조선일보,37.568735,126.976885
시청역,37.565673,126.977006
서울역,37.55820126,126.9713291
숭례문앞,37.561517,126.976236
프레스센터,37.567396,126.97734
신당역하나은행,37.565422,127.021586
염천교,37.559798,126.971117
서울역서부,37.55597897,126.9692313
한국경제신문사,37.56093341,126.9679526
응봉근린공원.금호산,37.553522,127.016922
서울방송고등학교.남산타운아파트,37.54958602,127.0124098
서울방송고등학교.남산타운아파트,37.549618,127.012293
중구청소년센터.남산타운2상가,37.551656,127.012751
중구청소년센터.남산타운2상가,37.551906,127.012175
약수시장.남산타운동문,37.55160463,127.010786
약수지구대,37.55279283,127.0121072
남대문시장,37.56138346,126.979324
을지로입구역롯데호텔,37.56580472,126.9803053
소공동웨스틴조선호텔,37.564518,126.979645
서울광장,37.565352,126.978885
광화문코리아나호텔,37.56842265,126.976776
서소문KAL빌딩,37.563334,126.974319
동국대입구앰배서더호텔,37.55977171,127.0026102
광화문,37.56875876,126.9767623
시청덕수궁,37.56547157,126.9767781
바비엥스위트,37.56510899,126.9676373
서울역,37.55781956,126.9728596
명동역.세종호텔,37.561088,126.986449
충무로역.호텔피제이,37.56171802,126.9955605
남대문시장,37.56096738,126.9787309
이비스엠버서더호텔,37.56460933,126.9826126
프레이저플레이스,37.56284768,126.9692683
서울역,37.55816,126.971336
아카시아호텔.웨스턴코업레지던스,37.56655061,127.0034787
을지로코업레지던스,37.56623336,127.0053975
토요코인호텔.이비스버젯호텔,37.56459135,127.0089473
약수역,37.55378896,127.0098978
남산밀레니엄힐튼호텔,37.55546657,126.9759753
서울역,37.5580158,126.9720457
숭례문라마다&스위트호텔,37.56061096,126.9720685
시청역더플라자호텔,37.5641562,126.9779059
시청.서울신문사,37.56829932,126.9773647
프레이저플레이스남대문,37.561376,126.9762666
프레이저플레이스남대문,37.56106678,126.9755366
동대문역사문화공원,37.56538519,127.0092451
광희동더스프라지르서울동대문,37.564536,127.007526
동대문디자인플라자DDP,37.567853,127.009213
베이튼호텔,37.56499932,127.0026364
광화문,37.5689379,126.9767086
덕수궁,37.56558455,126.9767268
남대문시장,37.56092315,126.9753967
명동,37.56075833,126.9856195
남산골한옥마을,37.56099506,126.9924384
앰버서더호텔,37.5604635,127.0026254
신라호텔,37.5583034,127.0054272
동대문디자인플라자.동대문시장,37.5668754,127.0085549
서울애니메이션센터,37.55851302,126.987253
남산케이블카,37.55511729,126.9836038
동대문디자인프라자,37.56776256,127.0091304
방산.중부시장,37.56685688,126.9994423
을지로3가,37.56653491,126.9923256
을지로입구,37.56613096,126.9810013
명동입구,37.56418743,126.9823774
신당동중앙시장,37.56575532,127.0194166
남산오르미,37.55819405,126.9831349
한강대교북단.LG유플러스,37.524049,126.963121
한강대교북단.LG유플러스,37.52430606,126.9631848
신용산역,37.527293,126.966207
신용산역,37.52792049,126.9666192
용산우체국,37.53149701,126.970235
용산우체국,37.53205037,126.9705641
삼각지역,37.535181,126.973683
삼각지역,37.5359845,126.9741609
숙대입구역,37.54329563,126.9725378
숙대입구역,37.54375602,126.9722321
갈월동,37.5509756,126.9722373
갈월동,37.54953372,126.9717082
남영역,37.54200692,126.9719272
남영역,37.541823,126.972069
신용산역3번출구,37.528889,126.967351
서울드래곤시티,37.53216,126.96306
용산역3번출구.용산차고지,37.531808,126.964215
한강대교북단,37.524968,126.96357
서계동,37.5524743,126.9693405
서계동,37.5516705,126.969222
청파동,37.548992,126.970122
청파시장,37.54867903,126.9698626
숙대입구역.청파동주민센터,37.54538125,126.9707772
숙대입구역.청파동주민센터,37.545486,126.970416
남영역,37.540813,126.971032
남영역,37.54057027,126.9706761
용산전자상가17동,37.53377926,126.9660271
용산전자상가19동,37.533513,126.965707
용산전자상가10동,37.5332725,126.9619641
용산전자상가12동,37.533052,126.962168
용산전자상가.전자랜드,37.532778,126.958328
용산전자상가.전자랜드,37.533058,126.958339
원효대교북단,37.531985,126.956112
용산경찰서,37.54050321,126.9691858
용산경찰서,37.53999946,126.9690615
용산꿈나무종합타운.원효로우체국,37.5386139,126.9669291
용산e편한세상,37.53746,126.965469
